기간,미국 지표,한국 지표,조건,총 거래일(기간),조건 해당일,조건 비율(%),한국 상승일,승률(%),미국 평균 수익률(%),한국 익일 평균 수익률(%),한국 익일 수익률 std(%),최대 한국 익일 수익률(%),최소 한국 익일 수익률(%)
6개월,SOXX,SKHynix,미국 +3% 초과,129,4,3.1,2,50.0,3.34,-0.27,0.97,0.46,-1.63
6개월,SOXX,SKHynix,미국 -1% 미만,129,33,25.6,23,69.7,-1.87,1.0,1.51,3.44,-1.98
6개월,SOXX,SKHynix,미국 -2% 미만,129,14,10.9,10,71.4,-2.53,1.2,1.44,3.25,-1.47
6개월,SOXX,SKHynix,미국 -3% 미만,129,1,0.8,0,0.0,-3.41,-0.36,,-0.36,-0.36
6개월,SOXX,SKHynix,미국 +0.5~1%,129,13,10.1,7,53.8,0.71,0.22,1.26,2.78,-1.42
6개월,SOXX,SKHynix,미국 -0.5~-1%,129,15,11.6,10,66.7,-0.76,0.35,1.1,2.19,-1.45
3개월,SOXX,SKHynix,미국 상승 (>0%),65,26,40.0,17,65.4,1.31,0.44,1.61,4.25,-2.9
3개월,SOXX,SKHynix,미국 하락 (<0%),65,39,60.0,23,59.0,-1.15,0.31,1.78,3.44,-3.5
3개월,SOXX,SKHynix,미국 +1% 초과,65,16,24.6,11,68.8,1.93,0.56,1.55,4.25,-2.34
3개월,SOXX,SKHynix,미국 +2% 초과,65,7,10.8,5,71.4,2.7,0.84,1.85,4.25,-1.63
3개월,SOXX,SKHynix,미국 +3% 초과,65,1,1.5,0,0.0,3.62,-1.63,,-1.63,-1.63
3개월,SOXX,SKHynix,미국 -1% 미만,65,20,30.8,13,65.0,-1.83,0.85,1.74,3.44,-1.98
3개월,SOXX,SKHynix,미국 -2% 미만,65,9,13.8,7,77.8,-2.36,1.3,1.58,3.25,-1.47
3개월,SOXX,SKHynix,미국 +0.5~1%,65,3,4.6,2,66.7,0.65,-0.07,1.16,0.61,-1.41
3개월,SOXX,SKHynix,미국 -0.5~-1%,65,8,12.3,6,75.0,-0.74,0.44,1.18,2.19,-1.45
3년,SOXX,Hanmi,미국 상승 (>0%),742,382,51.5,219,57.3,1.33,0.23,2.58,7.47,-7.53
3년,SOXX,Hanmi,미국 하락 (<0%),742,360,48.5,174,48.3,-1.3,0.03,2.55,7.36,-6.31
3년,SOXX,Hanmi,미국 +1% 초과,742,208,28.0,116,55.8,2.07,0.11,2.63,7.17,-7.53
3년,SOXX,Hanmi,미국 +2% 초과,742,93,12.5,56,60.2,2.84,0.33,2.76,7.17,-7.53
3년,SOXX,Hanmi,미국 +3% 초과,742,32,4.3,17,53.1,3.73,0.43,2.68,7.17,-4.77
3년,SOXX,Hanmi,미국 -1% 미만,742,192,25.9,96,50.0,-2.0,0.01,2.55,7.36,-6.31
3년,SOXX,Hanmi,미국 -2% 미만,742,84,11.3,39,46.4,-2.74,-0.18,2.63,7.36,-6.31
3년,SOXX,Hanmi,미국 -3% 미만,742,22,3.0,8,36.4,-3.6,-0.34,2.48,3.71,-6.31
3년,SOXX,Hanmi,미국 +0.5~1%,742,80,10.8,46,57.5,0.72,0.21,2.74,7.47,-6.2
3년,SOXX,Hanmi,미국 -0.5~-1%,742,85,11.5,36,42.4,-0.73,-0.0,2.58,6.36,-5.76
1년,SOXX,Hanmi,미국 상승 (>0%),260,144,55.4,83,57.6,1.35,0.11,2.56,7.47,-7.53
1년,SOXX,Hanmi,미국 하락 (<0%),260,116,44.6,59,50.9,-1.32,0.3,2.53,6.4,-5.93
1년,SOXX,Hanmi,미국 +1% 초과,260,79,30.4,48,60.8,2.1,0.13,2.66,6.27,-7.53
1년,SOXX,Hanmi,미국 +2% 초과,260,40,15.4,28,70.0,2.78,0.31,2.92,6.27,-7.53
1년,SOXX,Hanmi,미국 +3% 초과,260,11,4.2,7,63.6,3.8,0.24,2.24,3.58,-4.77
1년,SOXX,Hanmi,미국 -1% 미만,260,64,24.6,34,53.1,-2.0,0.46,2.65,6.4,-5.93
1년,SOXX,Hanmi,미국 -2% 미만,260,31,11.9,16,51.6,-2.67,0.35,2.62,5.48,-5.93
1년,SOXX,Hanmi,미국 -3% 미만,260,7,2.7,3,42.9,-3.51,0.39,2.45,3.71,-2.82
1년,SOXX,Hanmi,미국 +0.5~1%,260,29,11.2,16,55.2,0.73,0.01,2.78,7.47,-5.7
1년,SOXX,Hanmi,미국 -0.5~-1%,260,26,10.0,13,50.0,-0.73,0.51,2.35,5.29,-3.39
6개월,SOXX,Hanmi,미국 상승 (>0%),129,65,50.4,39,60.0,1.34,-0.07,2.65,6.27,-7.53
6개월,SOXX,Hanmi,미국 하락 (<0%),129,64,49.6,36,56.2,-1.19,0.63,2.74,6.4,-5.93
6개월,SOXX,Hanmi,미국 +1% 초과,129,36,27.9,20,55.6,2.08,-0.35,3.03,6.27,-7.53
6개월,SOXX,Hanmi,미국 +2% 초과,129,20,15.5,12,60.0,2.61,-0.27,3.42,6.27,-7.53
6개월,SOXX,Hanmi,미국 +3% 초과,129,4,3.1,1,25.0,3.34,-1.57,2.3,0.49,-4.77
6개월,SOXX,Hanmi,미국 -1% 미만,129,33,25.6,23,69.7,-1.87,1.32,2.78,6.4,-5.93
6개월,SOXX,Hanmi,미국 -2% 미만,129,14,10.9,10,71.4,-2.53,1.03,2.95,5.48,-5.93
6개월,SOXX,Hanmi,미국 -3% 미만,129,1,0.8,0,0.0,-3.41,-2.82,,-2.82,-2.82
6개월,SOXX,Hanmi,미국 +0.5~1%,129,13,10.1,9,69.2,0.71,0.43,1.74,2.45,-2.71
6개월,SOXX,Hanmi,미국 -0.5~-1%,129,15,11.6,7,46.7,-0.76,0.41,2.48,5.29,-3.39
3개월,SOXX,Hanmi,미국 상승 (>0%),65,26,40.0,18,69.2,1.31,0.65,2.4,6.27,-5.64
3개월,SOXX,Hanmi,미국 하락 (<0%),65,39,60.0,21,53.8,-1.15,0.67,2.98,5.48,-5.93
3개월,SOXX,Hanmi,미국 +1% 초과,65,16,24.6,10,62.5,1.93,0.45,2.65,6.27,-5.64
3개월,SOXX,Hanmi,미국 +2% 초과,65,7,10.8,6,85.7,2.7,1.35,2.77,6.27,-3.06
3개월,SOXX,Hanmi,미국 +3% 초과,65,1,1.5,1,100.0,3.62,0.49,,0.49,0.49
3개월,SOXX,Hanmi,미국 -1% 미만,65,20,30.8,13,65.0,-1.83,1.42,3.0,5.48,-5.93
3개월,SOXX,Hanmi,미국 -2% 미만,65,9,13.8,7,77.8,-2.36,1.51,3.35,5.48,-5.93
3개월,SOXX,Hanmi,미국 +0.5~1%,65,3,4.6,3,100.0,0.65,1.27,0.97,2.12,0.21
3개월,SOXX,Hanmi,미국 -0.5~-1%,65,8,12.3,4,50.0,-0.74,0.9,3.22,5.29,-3.39
3년,NVDA,SKHynix,미국 상승 (>0%),742,387,52.2,215,55.6,2.85,0.25,1.76,5.71,-4.9
3년,NVDA,SKHynix,미국 하락 (<0%),742,355,47.8,171,48.2,-2.65,-0.01,1.68,4.16,-4.4
3년,NVDA,SKHynix,미국 +1% 초과,742,302,40.7,161,53.3,3.5,0.18,1.76,5.71,-4.9
3년,NVDA,SKHynix,미국 +2% 초과,742,229,30.9,122,53.3,4.13,0.14,1.74,5.71,-4.9
3년,NVDA,SKHynix,미국 +3% 초과,742,150,20.2,77,51.3,4.98,0.12,1.81,5.71,-4.9
3년,NVDA,SKHynix,미국 -1% 미만,742,260,35.0,126,48.5,-3.45,-0.05,1.72,4.16,-4.4
3년,NVDA,SKHynix,미국 -2% 미만,742,200,27.0,104,52.0,-4.03,0.07,1.79,4.16,-4.4
3년,NVDA,SKHynix,미국 -3% 미만,742,138,18.6,70,50.7,-4.72,-0.03,1.77,3.99,-4.4
3년,NVDA,SKHynix,미국 +0.5~1%,742,48,6.5,31,64.6,0.76,0.47,1.78,4.19,-3.26
3년,NVDA,SKHynix,미국 -0.5~-1%,742,48,6.5,23,47.9,-0.75,-0.04,1.54,3.26,-3.14
1년,NVDA,SKHynix,미국 상승 (>0%),260,145,55.8,81,55.9,2.94,0.28,1.71,5.71,-3.55
1년,NVDA,SKHynix,미국 하락 (<0%),260,115,44.2,59,51.3,-2.64,0.15,1.57,3.44,-3.5
1년,NVDA,SKHynix,미국 +1% 초과,260,113,43.5,63,55.8,3.61,0.36,1.71,5.71,-3.34
1년,NVDA,SKHynix,미국 +2% 초과,260,87,33.5,49,56.3,4.24,0.32,1.72,5.71,-3.34
1년,NVDA,SKHynix,미국 +3% 초과,260,59,22.7,34,57.6,5.08,0.45,1.77,5.71,-3.34
1년,NVDA,SKHynix,미국 -1% 미만,260,87,33.5,44,50.6,-3.33,0.16,1.68,3.44,-3.5
1년,NVDA,SKHynix,미국 -2% 미만,260,67,25.8,38,56.7,-3.88,0.37,1.76,3.44,-3.47
1년,NVDA,SKHynix,미국 -3% 미만,260,43,16.5,23,53.5,-4.66,0.3,1.75,3.25,-3.47
1년,NVDA,SKHynix,미국 +0.5~1%,260,17,6.5,11,64.7,0.8,0.41,1.64,2.91,-2.49
1년,NVDA,SKHynix,미국 -0.5~-1%,260,16,6.2,8,50.0,-0.75,-0.19,1.36,2.35,-2.9
6개월,NVDA,SKHynix,미국 상승 (>0%),129,71,55.0,39,54.9,2.82,0.19,1.57,4.65,-3.34
6개월,NVDA,SKHynix,미국 하락 (<0%),129,58,45.0,38,65.5,-2.56,0.53,1.58,3.44,-3.5
6개월,NVDA,SKHynix,미국 +1% 초과,129,56,43.4,31,55.4,3.43,0.2,1.6,4.65,-3.34
6개월,NVDA,SKHynix,미국 +2% 초과,129,41,31.8,24,58.5,4.11,0.15,1.53,4.25,-3.34
6개월,NVDA,SKHynix,미국 +3% 초과,129,30,23.3,18,60.0,4.73,0.26,1.61,4.25,-3.34
6개월,NVDA,SKHynix,미국 -1% 미만,129,46,35.7,30,65.2,-3.06,0.6,1.64,3.44,-3.5
6개월,NVDA,SKHynix,미국 -2% 미만,129,35,27.1,25,71.4,-3.54,0.96,1.59,3.44,-2.91
6개월,NVDA,SKHynix,미국 -3% 미만,129,21,16.3,14,66.7,-4.28,0.94,1.62,3.25,-2.91
6개월,NVDA,SKHynix,미국 +0.5~1%,129,8,6.2,4,50.0,0.78,-0.1,1.57,2.78,-2.49
6개월,NVDA,SKHynix,미국 -0.5~-1%,129,10,7.8,7,70.0,-0.76,0.27,1.47,2.35,-2.9
3개월,NVDA,SKHynix,미국 상승 (>0%),65,33,50.8,20,60.6,2.83,0.31,1.54,4.25,-2.49
3개월,NVDA,SKHynix,미국 하락 (<0%),65,32,49.2,20,62.5,-2.77,0.41,1.88,3.44,-3.5
3개월,NVDA,SKHynix,미국 +1% 초과,65,24,36.9,15,62.5,3.69,0.42,1.51,4.25,-2.34
3개월,NVDA,SKHynix,미국 +2% 초과,65,17,26.2,12,70.6,4.58,0.58,1.52,4.25,-2.34
3개월,NVDA,SKHynix,미국 +3% 초과,65,14,21.5,10,71.4,5.04,0.68,1.65,4.25,-2.34
3개월,NVDA,SKHynix,미국 -1% 미만,65,28,43.1,17,60.7,-3.05,0.48,1.9,3.44,-3.5
3개월,NVDA,SKHynix,미국 -2% 미만,65,20,30.8,13,65.0,-3.63,0.86,1.95,3.44,-2.91
3개월,NVDA,SKHynix,미국 -3% 미만,65,12,18.5,8,66.7,-4.41,0.97,1.97,3.25,-2.91
3개월,NVDA,SKHynix,미국 +0.5~1%,65,4,6.2,2,50.0,0.85,-0.6,1.57,0.82,-2.49
3개월,NVDA,SKHynix,미국 -0.5~-1%,65,4,6.2,3,75.0,-0.8,-0.09,1.94,1.48,-2.9
3년,NVDA,Hanmi,미국 상승 (>0%),742,387,52.2,219,56.6,2.85,0.2,2.56,7.47,-7.53
3년,NVDA,Hanmi,미국 하락 (<0%),742,355,47.8,174,49.0,-2.65,0.07,2.59,7.36,-6.31
3년,NVDA,Hanmi,미국 +1% 초과,742,302,40.7,172,57.0,3.5,0.19,2.64,7.47,-7.53
3년,NVDA,Hanmi,미국 +2% 초과,742,229,30.9,131,57.2,4.13,0.11,2.73,7.47,-7.53
3년,NVDA,Hanmi,미국 +3% 초과,742,150,20.2,87,58.0,4.98,0.16,2.61,7.47,-7.53
3년,NVDA,Hanmi,미국 -1% 미만,742,260,35.0,125,48.1,-3.45,0.05,2.61,7.36,-6.31
3년,NVDA,Hanmi,미국 -2% 미만,742,200,27.0,103,51.5,-4.03,0.23,2.65,7.36,-6.31
3년,NVDA,Hanmi,미국 -3% 미만,742,138,18.6,70,50.7,-4.72,0.22,2.56,6.02,-6.31
3년,NVDA,Hanmi,미국 +0.5~1%,742,48,6.5,26,54.2,0.76,0.25,2.37,5.06,-5.77
3년,NVDA,Hanmi,미국 -0.5~-1%,742,48,6.5,23,47.9,-0.75,-0.03,2.34,6.4,-3.69
1년,NVDA,Hanmi,미국 상승 (>0%),260,145,55.8,81,55.9,2.94,0.1,2.51,7.47,-7.53
1년,NVDA,Hanmi,미국 하락 (<0%),260,115,44.2,61,53.0,-2.64,0.31,2.59,6.4,-5.93
1년,NVDA,Hanmi,미국 +1% 초과,260,113,43.5,68,60.2,3.61,0.26,2.61,7.47,-7.53
1년,NVDA,Hanmi,미국 +2% 초과,260,87,33.5,54,62.1,4.24,0.2,2.73,7.47,-7.53
1년,NVDA,Hanmi,미국 +3% 초과,260,59,22.7,39,66.1,5.08,0.48,2.51,7.47,-7.53
1년,NVDA,Hanmi,미국 -1% 미만,260,87,33.5,46,52.9,-3.33,0.35,2.63,5.48,-5.93
1년,NVDA,Hanmi,미국 -2% 미만,260,67,25.8,38,56.7,-3.88,0.51,2.65,5.48,-5.93
1년,NVDA,Hanmi,미국 -3% 미만,260,43,16.5,24,55.8,-4.66,0.41,2.69,5.48,-5.93
1년,NVDA,Hanmi,미국 +0.5~1%,260,17,6.5,8,47.1,0.8,-0.25,2.24,3.23,-5.64
1년,NVDA,Hanmi,미국 -0.5~-1%,260,16,6.2,7,43.8,-0.75,0.01,2.79,6.4,-3.69
6개월,NVDA,Hanmi,미국 상승 (>0%),129,71,55.0,37,52.1,2.82,-0.21,2.54,6.27,-7.53
6개월,NVDA,Hanmi,미국 하락 (<0%),129,58,45.0,38,65.5,-2.56,0.87,2.81,6.4,-5.93
6개월,NVDA,Hanmi,미국 +1% 초과,129,56,43.4,32,57.1,3.43,-0.12,2.64,6.27,-7.53
6개월,NVDA,Hanmi,미국 +2% 초과,129,41,31.8,25,61.0,4.11,-0.22,2.8,6.27,-7.53
6개월,NVDA,Hanmi,미국 +3% 초과,129,30,23.3,17,56.7,4.73,-0.15,2.7,6.27,-7.53
6개월,NVDA,Hanmi,미국 -1% 미만,129,46,35.7,30,65.2,-3.06,0.88,2.84,5.48,-5.93
6개월,NVDA,Hanmi,미국 -2% 미만,129,35,27.1,25,71.4,-3.54,1.27,2.78,5.48,-5.93
6개월,NVDA,Hanmi,미국 -3% 미만,129,21,16.3,14,66.7,-4.28,0.92,3.07,5.48,-5.93
6개월,NVDA,Hanmi,미국 +0.5~1%,129,8,6.2,3,37.5,0.78,-1.04,2.73,2.15,-5.64
6개월,NVDA,Hanmi,미국 -0.5~-1%,129,10,7.8,6,60.0,-0.76,0.91,3.07,6.4,-3.23
3개월,NVDA,Hanmi,미국 상승 (>0%),65,33,50.8,19,57.6,2.83,0.34,2.26,6.27,-5.64
3개월,NVDA,Hanmi,미국 하락 (<0%),65,32,49.2,20,62.5,-2.77,1.0,3.16,5.48,-5.93
3개월,NVDA,Hanmi,미국 +1% 초과,65,24,36.9,16,66.7,3.69,0.71,2.19,6.27,-3.64
3개월,NVDA,Hanmi,미국 +2% 초과,65,17,26.2,13,76.5,4.58,1.01,2.05,6.27,-3.06
3개월,NVDA,Hanmi,미국 +3% 초과,65,14,21.5,11,78.6,5.04,1.0,2.22,6.27,-3.06
3개월,NVDA,Hanmi,미국 -1% 미만,65,28,43.1,18,64.3,-3.05,1.07,3.15,5.48,-5.93
3개월,NVDA,Hanmi,미국 -2% 미만,65,20,30.8,14,70.0,-3.63,1.51,3.22,5.48,-5.93
3개월,NVDA,Hanmi,미국 -3% 미만,65,12,18.5,9,75.0,-4.41,1.56,3.62,5.48,-5.93
3개월,NVDA,Hanmi,미국 +0.5~1%,65,4,6.2,1,25.0,0.85,-1.66,2.82,0.87,-5.64
3개월,NVDA,Hanmi,미국 -0.5~-1%,65,4,6.2,2,50.0,-0.8,0.45,3.73,4.69,-3.23
